,2007_IDH,2006_IDH,2005_IDH,2000_IDH,2007_Kcal,2006_Kcal,2005_Kcal,2000_Kcal
Timor-Leste,0.487,0.464,0.448,0.404,2065.67,1968.31,2014.0,1932.45
Togo,0.424,0.425,0.419,0.408,2161.06,2144.62,2132.93,2012.04
Tokelau,,,,,,,,
Tonga,0.698,0.698,0.696,0.681,,,,
Transnistria,,,,,,,,
Trinidad and Tobago,0.752,0.741,0.728,0.701,2725.15,2704.17,2710.33,2689.02
Tunisia,0.681,0.675,0.667,0.63,3326.45,3314.19,3295.68,3238.03
Turkey,0.688,0.681,0.671,0.634,3516.73,3494.58,3434.3,3480.55
Turkmenistan,0.666,0.661,0.654,,2731.4,2771.27,2760.54,2604.86
Turks and Caicos Islands,,,,,,,,
Tuvalu,,,,,,,,
Uganda,0.42,0.41,0.401,0.372,2211.3,2242.99,2287.62,2249.84
Ukraine,0.725,0.718,0.712,0.669,3223.72,3251.21,3215.82,2896.79
United Arab Emirates,0.827,0.818,0.807,0.753,3171.2,3176.56,3066.25,3166.68
United Kingdom,0.856,0.853,0.855,0.833,3458.41,3437.22,3431.27,3370.08
United States,0.905,0.904,0.902,0.897,3748.36,3766.28,3795.8,3731.61
Uruguay,0.764,0.755,0.748,0.736,2829.47,2818.53,2804.76,2830.97
USSR,,,,,,,,
Uzbekistan,0.619,0.614,0.611,,2581.11,2516.02,2477.28,2380.84
Wallis et Futuna,,,,,,,,
Vanuatu,,,,,2740.23,2709.88,2714.59,2632.73
Venezuela,0.72,0.706,0.692,0.656,2631.9,2555.9,2557.13,2478.85
West Bank and Gaza,,,,,2019.71,2167.85,2218.35,2146.22
West Germany,,,,,,,,
Western Sahara,,,,,,,,
Vietnam,0.575,0.568,0.561,0.528,2816.25,2770.6,2720.18,2493.31
Virgin Islands (U.S.),,,,,,,,
Yugoslavia,,,,,,,,
Zambia,0.405,0.398,0.394,0.371,1873.04,1888.79,1894.3,1891.6
Zimbabwe,0.35,0.348,0.347,0.372,2237.75,2213.64,2170.43,1960.36
Åland,,,,,,,,
